1,0,2,1336,0.164289228,131,0.016109198,1,0,0,5,8,6.5
0,1,3,1372,0.168716183,1407,0.173020167,0,0,0,6,8,7
0,3,3,1336,0.164289228,1725,0.212124939,1,1,0,8,16,12
0,0,4,40,0.004918839,64,0.007870143,1,0,0,8,10,9
0,0,2,377,0.046360059,1407,0.173020167,0,0,0,4.5,6,5.25
0,3,4,1372,0.168716183,1407,0.173020167,0,0,0,6.666666667,8.333333333,7.5
1,3,2,1119,0.137604525,1725,0.212124939,1,1,0,7,16,11.5
0,2,6,668,0.082144614,11,0.001352681,0,0,0,5,8,6.5
3,4,7,103,0.012666011,1185,0.14572061,0,1,1,13,18,15.5
0,0,4,1372,0.168716183,1725,0.212124939,1,0,0,10,15,12.5
0,3,4,1372,0.168716183,1407,0.173020167,0,0,0,6.666666667,8.333333333,7.5
0,2,3,1372,0.168716183,1407,0.173020167,0,0,0,8,10,9
0,0,3,1372,0.168716183,1407,0.173020167,0,0,0,6,8,7
2,2,5,1336,0.164289228,81,0.009960649,1,0,0,8,9,8.5
2,3,3,36,0.004426955,277,0.034062961,0,1,1,8,10,9
0,3,3,363,0.044638465,333,0.040949336,0,1,1,15,25,20
0,1,3,1372,0.168716183,1407,0.173020167,0,0,0,5,12,8.5
0,2,2,377,0.046360059,1407,0.173020167,0,0,0,6,8,7
4,3,7,1372,0.168716183,1725,0.212124939,0,0,1,12.5,16.66666667,14.58333333
0,0,5,668,0.082144614,1407,0.173020167,0,1,1,12,24,18
1,0,3,1372,0.168716183,1407,0.173020167,0,0,0,8,10,9
1,3,2,1336,0.164289228,277,0.034062961,0,1,0,7,11,9
0,3,2,2,0.000245942,1185,0.14572061,0,0,0,3.5,5.5,4.5
0,0,3,363,0.044638465,338,0.041564191,0,0,0,6,8,7
1,3,2,9,0.001106739,1725,0.212124939,1,0,0,6,9,7.5
0,2,2,89,0.010944417,1725,0.212124939,0,0,0,4.5,6,5.25
0,0,6,466,0.057304476,149,0.018322676,1,0,0,4,8,6
0,1,3,1372,0.168716183,1407,0.173020167,0,0,0,6.666666667,8.333333333,7.5
0,3,2,86,0.010575504,277,0.034062961,0,1,0,4,8.5,6.25
1,2,5,21,0.002582391,131,0.016109198,1,0,0,5,8,6.5
0,3,3,1336,0.164289228,277,0.034062961,0,0,0,10,15,12.5
0,0,2,1336,0.164289228,1185,0.14572061,1,0,0,6,8,7
1,2,3,1372,0.168716183,1407,0.173020167,0,0,0,6,8,7
0,0,3,1372,0.168716183,1407,0.173020167,1,0,0,4.5,6,5.25
0,3,3,668,0.082144614,1725,0.212124939,0,1,0,8,12,10
0,3,7,89,0.010944417,1185,0.14572061,0,1,1,16.66666667,25,20.83333333
2,3,3,112,0.01377275,1407,0.173020167,0,0,0,6,10,8
0,0,3,1119,0.137604525,1185,0.14572061,0,0,0,10,15,12.5
0,0,1,23,0.002828333,1185,0.14572061,0,1,1,20,35,27.5
1,3,3,1336,0.164289228,1725,0.212124939,1,0,1,8,10,9
3,3,5,1336,0.164289228,1407,0.173020167,0,0,0,20,30,25
0,0,3,1119,0.137604525,1407,0.173020167,0,0,0,6,8,7
3,0,1,68,0.008362027,338,0.041564191,0,0,0,6,8,7
2,3,7,668,0.082144614,1407,0.173020167,0,0,0,8,12,10
1,3,1,133,0.01635514,1725,0.212124939,0,0,1,4,10,7
0,3,2,1336,0.164289228,447,0.054968028,0,0,0,4.5,6.5,5.5
1,3,5,668,0.082144614,1185,0.14572061,1,0,0,8,15,11.5
3,3,3,232,0.028529267,1725,0.212124939,0,1,0,12,20,16
4,3,3,668,0.082144614,1725,0.212124939,0,1,0,18,30,24
3,3,2,1336,0.164289228,1725,0.212124939,1,0,1,10,15,12.5
3,3,4,1372,0.168716183,1185,0.14572061,1,0,0,10,15,12.5
1,3,5,8,0.000983768,25,0.003074274,1,0,1,5,10,7.5
0,0,5,1119,0.137604525,149,0.018322676,0,1,0,6.666666667,8.333333333,7.5
2,3,3,377,0.046360059,6,0.000737826,0,0,0,15,20,17.5
3,2,3,1372,0.168716183,338,0.041564191,0,0,0,10,20,15
1,3,3,1336,0.164289228,447,0.054968028,0,0,0,7,10,8.5
0,3,2,1119,0.137604525,1185,0.14572061,0,0,0,4,8,6
2,3,2,1336,0.164289228,277,0.034062961,0,0,0,20,30,25
0,0,3,1372,0.168716183,1407,0.173020167,0,0,0,5,10,7.5
1,3,1,1119,0.137604525,277,0.034062961,1,0,0,8,10,9
0,2,3,32,0.003935071,161,0.019798328,0,0,0,6,8,7
0,0,2,68,0.008362027,1725,0.212124939,0,0,0,4.5,6,5.25
3,3,7,240,0.029513035,1725,0.212124939,1,0,0,8,16,12
3,3,4,668,0.082144614,206,0.025332022,0,0,0,10,15,12.5
2,3,3,1372,0.168716183,117,0.014387605,1,0,0,8,15,11.5
2,2,2,1119,0.137604525,36,0.004426955,0,0,0,5,7,6
1,3,3,377,0.046360059,1185,0.14572061,0,0,1,8,15,11.5
1,3,4,363,0.044638465,1407,0.173020167,0,0,0,6,8,7
1,4,2,1336,0.164289228,119,0.014633546,0,1,0,10,15,12.5
2,2,3,103,0.012666011,1725,0.212124939,1,0,0,4,6,5
