1719,0,3,1681,7000
1719,0,2,1681,5250
391,0,2,1681,7000
231,3,2,1681,8500
1438,2,2,52,6500
133,0,4,1681,6500
1719,0,2,1681,7000
1719,2,3,1681,9000
1438,0,3,1265,7000
1148,1,7,170,12500
1719,0,3,1681,9000
1148,0,2,1681,10416.66667
1719,0,3,1681,6000
1148,0,3,1681,12500
1148,0,3,1681,7000
715,0,2,1681,9000
1719,0,3,1681,5250
1148,0,1,53,7500
381,0,4,1831,10000
1719,1,3,1681,9000
1719,0,3,1681,9000
231,1,1,129,6500
381,1,3,1831,12500
1148,3,2,1265,18500
109,2,4,34,11500
1719,3,3,371,15000
1719,0,2,1681,7000
1719,0,2,1681,9000
1719,0,4,1681,7500
1719,0,3,1681,9000
1719,1,3,1681,7000
1719,0,2,1681,9000
1719,0,3,1681,9000
715,0,5,1681,18000
715,2,1,287,10500
231,3,4,171,12500
1438,4,4,143,17500
48,0,2,1831,7000
1719,3,3,1681,7000
1719,0,3,1681,9000
1719,1,2,371,4750
381,1,3,1831,7000
1438,0,3,1831,9000
1148,1,2,1681,9000
1438,2,5,1831,25000
1719,0,2,1681,7000
1438,0,7,41,9500
1148,3,4,129,10416.66667
1148,3,1,482,11500
1719,0,3,1681,7000
1,0,2,340,8000
76,1,2,224,5250
715,3,2,120,15000
1719,0,2,1681,7000
1719,0,2,1681,7000
1438,1,3,120,10000
231,0,2,1681,9000
1719,0,3,1681,7000
1719,0,3,170,7000
715,0,2,482,4500
120,0,2,88,5250
73,0,2,1831,5000
1719,1,3,1681,9000
71,3,1,371,7000
1719,0,3,1681,9000
1719,0,3,1681,9000
1719,0,3,1681,7500
715,4,4,1831,22500
42,0,4,1681,9000
76,2,2,1831,6000
1719,2,3,34,7000
1438,3,5,1681,17500
1719,0,3,1681,7000
1438,2,5,1831,12500
1148,0,2,287,11000
67,3,1,111,7000
1438,0,4,1681,8500
381,0,2,1681,12500
11,0,2,1681,5250
1438,3,3,52,20000
94,2,1,1831,7000
