number,residual
0,2.6823915982082465
1,7.567676788556678
2,-8.281538415262322
3,-0.20657589414376076
4,-0.3203098692424273
5,2.283417924657263
6,-1.8527301048538085
7,5.98752194353194
8,-10.906136902067583
9,-11.010532288484576
10,1.4679989151512878
11,-10.24112251776068
12,-1.5241107342133402
13,5.410631353688331
14,-1.2346248875135153
15,0.6747007174568562
16,5.690259980981764
17,-0.21464041745419582
18,1.8421359077826622
19,0.99851982365126
20,-6.72548815850104
21,1.9051619692616484
22,-6.835228839923241
23,2.7406001566255274
24,-3.161969233655718
25,-3.5728198800931477
26,2.451335378933136
27,3.284832461664614
28,-1.9480356990736354
29,0.6495607555668075
30,-0.8350921354982992
31,1.006834917416361
32,-2.3092756248416233
33,-1.1636377048693838
34,-6.454024360008194
35,0.11837708931314861
36,-0.49510899825829213
37,-3.1219601631284526
38,-3.9208533468512172
39,0.27155409047082735
40,0.6746683578939203
41,1.5459756399918057
42,1.341628173736706
43,-3.161969233655718
44,0.14871675806214135
45,4.049215819220391
46,-6.639781720034106
47,-0.07903256614276088
48,5.606760719101461
49,4.506264830226026
50,1.8712892109387074
51,1.7692438772464545
52,4.773664976568718
53,1.280279654796737
54,4.438395231642236
55,0.9799442474133215
56,-7.438980860410883
57,2.9491044318231854
58,4.0974086697563585
59,-0.6560404082055289
60,1.493000886192167
61,13.621774265441182
62,4.354584427625213
63,-12.239651613623161
64,2.578804322858254
65,-0.5999315162358041
66,2.3371487416854713
67,-7.170595702175979
68,-4.113588175292016
69,-3.9061369020675833
70,1.1403872956020251
71,3.987517646226955
72,6.9641750313609645
73,2.173677243235062
74,2.0188057588460957
75,3.3159791266358214
76,-2.173772131565805
77,1.7112592875842
78,2.867397661921217
79,-1.1262879450225363
80,3.385303910556379
81,1.1123295537272129
82,-2.0444100446788056
83,2.190641880774975
84,2.438248281029736
85,-3.5721861249392663
86,3.012586157441161
87,-1.545218445659588
88,2.2934241058562392
89,5.1641439346243345
90,4.242241316263488
91,-10.773029406377944
92,2.7109314278676164
93,-0.01744633329313139
94,-1.2106595957553505
95,5.558952592190025
96,-3.587575019945021
97,4.6213325526072815
98,2.485562656249849
99,11.193511490462193
100,-1.257470711974972
101,-0.4000705645543299
102,0.9810855997486652
